Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
LP001407,Male,Yes,0,Graduate,No,3189,2367,0,360,1,Urban
LP001413,Male,No,0,Graduate,Yes,6356,0,0,360,1,Rural
LP001415,Male,Yes,1,Graduate,No,3413,4053,0,360,1,Semiurban
LP001419,Female,Yes,0,Graduate,No,7950,0,0,360,1,Urban
LP001420,Male,Yes,3,Graduate,No,3829,1103,0,360,0,Urban
LP001428,Male,Yes,3+,Graduate,No,72529,0,0,360,1,Urban
LP001445,Male,Yes,2,Not Graduate,No,4136,0,0,480,0,Rural
LP001446,Male,Yes,0,Graduate,No,8449,0,0,360,1,Rural
LP001450,Male,Yes,0,Graduate,No,4456,0,0,180,0,Semiurban
LP001452,Male,Yes,2,Graduate,No,4635,8000,0,180,1,Rural
LP001455,Male,Yes,0,Graduate,No,3571,1917,0,360,1,Urban
LP001466,Male,No,0,Graduate,No,3066,0,0,360,1,Semiurban
LP001471,Male,No,2,Not Graduate,No,3235,2015,0,360,1,Semiurban
LP001472,Female,No,0,Graduate,,5058,0,0,360,1,Rural
LP001475,Male,Yes,0,Graduate,Yes,3188,2286,0,360,,Rural
LP001483,Male,Yes,3,Graduate,No,13518,0,0,360,1,Rural
LP001486,Male,Yes,1,Graduate,No,4364,2500,0,360,1,Semiurban
LP001490,Male,Yes,2,Not Graduate,No,4766,1646,0,360,1,Semiurban
LP001496,Male,Yes,1,Graduate,No,4609,2333,0,360,0,Semiurban
LP001499,Female,Yes,3,Graduate,No,6260,0,0,360,1,Semiurban
LP001500,Male,Yes,1,Graduate,No,3333,4200,0,360,1,Urban
LP001501,Male,Yes,0,Graduate,No,3500,3250,0,360,1,Semiurban
LP001517,Male,Yes,3,Graduate,No,9719,0,0,360,1,Urban
LP001527,Male,Yes,3,Graduate,No,6835,0,0,360,,Semiurban
LP001534,Male,No,0,Graduate,No,4452,0,0,360,1,Rural
LP001542,Female,Yes,0,Graduate,No,2262,0,0,480,0,Semiurban
LP001547,Male,Yes,1,Graduate,No,3901,0,0,360,1,Urban
LP001548,Male,Yes,2,Not Graduate,No,2687,0,0,180,1,Rural
LP001558,Male,No,0,Graduate,No,2243,2233,0,360,,Semiurban
LP001561,Female,Yes,0,Graduate,No,3417,1287,0,360,1,Semiurban
LP001563,,No,0,Graduate,No,1596,1760,0,360,0,Urban
LP001567,Male,Yes,3,Graduate,No,4513,0,0,360,1,Rural
LP001568,Male,Yes,0,Graduate,No,4500,0,0,360,1,Semiurban
LP001573,Male,Yes,0,Not Graduate,No,4523,1350,0,360,1,Urban
LP001584,Female,No,0,Graduate,Yes,4742,0,0,360,1,Semiurban
LP001587,Male,Yes,,Graduate,No,4082,0,0,360,1,Semiurban
LP001589,Female,No,0,Graduate,No,3417,0,0,360,1,Urban
LP001591,Female,Yes,2,Graduate,No,2922,3396,0,360,1,Semiurban
LP001599,Male,Yes,0,Graduate,No,4167,4754,0,360,1,Rural
LP001601,Male,No,3,Graduate,No,4243,4123,0,360,,Semiurban
LP001607,Female,No,0,Not Graduate,No,0,1760,0,360,1,Semiurban
LP001611,Male,Yes,1,Graduate,No,1516,2900,0,,0,Rural
LP001613,Female,No,0,Graduate,No,1762,2666,0,360,0,Urban
LP001622,Male,Yes,2,Graduate,No,724,3510,0,360,0,Rural
LP001627,Male,No,0,Graduate,No,3125,0,0,360,1,Urban
LP001650,Male,Yes,0,Graduate,No,2333,3803,0,360,1,Rural
LP001651,Male,Yes,3,Graduate,No,3350,1560,0,360,1,Urban
LP001652,Male,No,0,Graduate,No,2500,6414,0,360,0,Rural
LP001655,Female,No,0,Graduate,No,12500,0,0,360,0,Urban
LP001660,Male,No,0,Graduate,No,4667,0,0,360,1,Semiurban
LP001662,Male,No,0,Graduate,No,6500,0,0,360,0,Urban
LP001663,Male,Yes,2,Graduate,No,7500,0,0,360,1,Urban
LP001667,Male,No,0,Graduate,No,3073,0,0,180,1,Urban
LP001695,Male,Yes,1,Not Graduate,No,3321,2088,0,,1,Semiurban
LP001703,Male,Yes,0,Graduate,No,3333,1270,0,360,1,Urban
LP001718,Male,No,0,Graduate,No,3391,0,0,360,1,Rural
LP001728,Male,Yes,1,Graduate,Yes,3343,1517,0,360,1,Rural
LP001735,Female,No,1,Graduate,No,3620,0,0,360,1,Urban
LP001737,Male,No,0,Graduate,No,4000,0,0,84,1,Urban
LP001739,Male,Yes,0,Graduate,No,4258,0,0,360,1,Urban
LP001742,Male,Yes,2,Graduate,No,4500,0,0,360,1,Rural
LP001757,Male,Yes,1,Graduate,No,2014,2925,0,360,1,Rural
LP001769,,No,,Graduate,No,3333,1250,0,360,1,Semiurban
LP001771,Female,No,3,Graduate,No,4083,0,0,360,,Semiurban
LP001785,Male,No,0,Graduate,No,4727,0,0,360,0,Rural
LP001787,Male,Yes,3,Graduate,No,3089,2999,0,240,1,Rural
LP001789,Male,Yes,3,Not Graduate,,6794,528,0,360,0,Urban
LP001791,Male,Yes,0,Graduate,Yes,32000,0,0,360,,Semiurban
LP001794,Male,Yes,2,Graduate,Yes,10890,0,0,12,1,Rural
LP001797,Female,No,0,Graduate,No,12941,0,0,300,1,Urban
LP001815,Male,No,0,Not Graduate,No,3276,0,0,360,1,Semiurban
LP001817,Male,No,0,Not Graduate,Yes,8703,0,0,360,0,Rural
LP001818,Male,Yes,1,Graduate,No,4742,717,0,360,1,Semiurban
LP001822,Male,No,0,Graduate,No,5900,0,0,360,1,Urban
LP001827,Male,No,0,Graduate,No,3071,4309,0,360,1,Urban
LP001831,Male,Yes,0,Graduate,No,2783,1456,0,360,1,Urban
LP001842,Male,No,0,Graduate,No,5000,0,0,360,1,Rural
LP001853,Male,Yes,1,Not Graduate,No,2463,2360,0,360,0,Urban
LP001855,Male,Yes,2,Graduate,No,4855,0,0,360,1,Rural
LP001857,Male,No,0,Not Graduate,Yes,1599,2474,0,300,1,Semiurban
LP001862,Male,Yes,2,Graduate,Yes,4246,4246,0,360,1,Urban
LP001867,Male,Yes,0,Graduate,No,4333,2291,0,350,1,Rural
LP001878,Male,No,1,Graduate,No,5823,2529,0,360,1,Semiurban
LP001881,Male,Yes,0,Not Graduate,No,7895,0,0,360,1,Rural
LP001886,Male,No,0,Graduate,No,4150,4256,0,360,1,Rural
LP001906,Male,No,0,Graduate,,2964,0,0,360,0,Semiurban
LP001909,Male,No,0,Graduate,No,5583,0,0,360,1,Urban
LP001911,Female,No,0,Graduate,No,2708,0,0,360,1,Rural
LP001921,Male,No,1,Graduate,No,3180,2370,0,240,,Rural
LP001923,Male,No,0,Not Graduate,No,2268,0,0,360,0,Semiurban
LP001933,Male,No,2,Not Graduate,No,1141,2017,0,360,0,Urban
LP001943,Male,Yes,0,Graduate,No,3042,3167,0,360,1,Urban
LP001950,Female,Yes,3,Graduate,,1750,2935,0,360,0,Semiurban
LP001959,Female,Yes,1,Graduate,No,3564,0,0,360,1,Rural
LP001961,Female,No,0,Graduate,No,3958,0,0,360,1,Rural
LP001973,Male,Yes,2,Not Graduate,No,4483,0,0,360,1,Rural
LP001975,Male,Yes,0,Graduate,No,5225,0,0,360,1,Rural
LP001979,Male,No,0,Graduate,No,3017,2845,0,180,0,Urban
LP001995,Male,Yes,0,Not Graduate,No,2431,1820,0,360,0,Rural
LP001999,Male,Yes,2,Graduate,,4912,4614,0,360,1,Rural
LP002007,Male,Yes,2,Not Graduate,No,2500,3333,0,360,1,Urban
LP002009,Female,No,0,Graduate,No,2918,0,0,360,,Rural
LP002016,Male,Yes,2,Graduate,No,5128,0,0,360,1,Rural
LP002017,Male,Yes,3,Graduate,No,15312,0,0,360,,Urban
LP002018,Male,Yes,2,Graduate,No,3958,2632,0,360,1,Semiurban
LP002027,Male,Yes,0,Graduate,No,4334,2945,0,360,1,Semiurban
LP002028,Male,Yes,2,Graduate,No,4358,0,0,360,1,Urban
LP002042,Female,Yes,1,Graduate,No,4000,3917,0,360,1,Rural
LP002045,Male,Yes,3,Graduate,No,10166,750,0,,1,Urban
LP002046,Male,Yes,0,Not Graduate,No,4483,0,0,360,,Semiurban
LP002047,Male,Yes,2,Not Graduate,No,4521,1184,0,360,1,Semiurban
LP002056,Male,Yes,2,Graduate,No,9167,0,0,360,1,Semiurban
LP002057,Male,Yes,0,Not Graduate,No,13083,0,0,360,1,Rural
LP002059,Male,Yes,2,Graduate,No,7874,3967,0,360,1,Rural
LP002062,Female,Yes,1,Graduate,No,4333,0,0,84,1,Rural
LP002064,Male,No,0,Graduate,No,4083,0,0,360,1,Urban
LP002069,Male,Yes,2,Not Graduate,,3785,2912,0,360,0,Rural
LP002070,Male,Yes,3,Not Graduate,No,2654,1998,0,360,0,Rural
LP002077,Male,Yes,1,Graduate,No,10000,2690,0,360,1,Semiurban
LP002083,Male,No,0,Graduate,Yes,5833,0,0,360,1,Urban
LP002090,Male,Yes,1,Graduate,No,4796,0,0,360,0,Semiurban
LP002096,Male,Yes,0,Not Graduate,No,2000,1600,0,360,1,Rural
LP002099,Male,Yes,2,Graduate,No,2540,700,0,360,0,Urban
LP002102,Male,Yes,0,Graduate,Yes,1900,1442,1,360,1,Rural
LP002105,Male,Yes,0,Graduate,Yes,8706,0,1,480,1,Rural
LP002107,Male,Yes,3,Not Graduate,No,2855,542,1,360,1,Urban
LP002111,Male,Yes,,Graduate,No,3016,1300,1,360,,Urban
LP002117,Female,Yes,0,Graduate,No,3159,2374,1,360,1,Semiurban
LP002118,Female,No,0,Graduate,No,1937,1152,1,360,1,Semiurban
LP002123,Male,Yes,0,Graduate,No,2613,2417,1,360,1,Semiurban
LP002125,Male,Yes,1,Graduate,No,4960,2600,1,360,1,Semiurban
LP002148,Male,Yes,1,Graduate,No,3074,1083,1,360,1,Semiurban
LP002152,Female,No,0,Graduate,No,4213,0,1,360,1,Urban
LP002165,,No,1,Not Graduate,No,2038,4027,1,360,1,Rural
LP002167,Female,No,0,Graduate,No,2362,0,1,360,1,Urban
LP002168,Male,No,0,Graduate,No,5333,2400,1,360,0,Rural
LP002172,Male,Yes,3,Graduate,Yes,5384,0,1,360,1,Semiurban
LP002176,Male,No,0,Graduate,No,5708,0,1,360,1,Rural
LP002183,Male,Yes,0,Not Graduate,No,3754,3719,1,,1,Rural
LP002184,Male,Yes,0,Not Graduate,No,2914,2130,1,300,1,Urban
LP002186,Male,Yes,0,Not Graduate,No,2747,2458,1,36,1,Semiurban
LP002192,Male,Yes,0,Graduate,No,7830,2183,1,360,1,Rural
LP002195,Male,Yes,1,Graduate,Yes,3507,3148,1,360,1,Rural
LP002208,Male,Yes,1,Graduate,No,3747,2139,1,360,1,Urban
LP002212,Male,Yes,0,Graduate,No,2166,2166,1,360,,Urban
LP002240,Male,Yes,0,Not Graduate,No,3500,2168,1,360,1,Rural
LP002245,Male,Yes,2,Not Graduate,No,2896,0,1,480,1,Urban
LP002253,Female,No,1,Graduate,No,5062,0,1,300,1,Rural
LP002256,Female,No,2,Graduate,Yes,5184,0,1,360,0,Semiurban
LP002257,Female,No,0,Graduate,No,2545,0,1,360,1,Urban
LP002264,Male,Yes,0,Graduate,No,2553,1768,1,360,1,Urban
LP002270,Male,Yes,1,Graduate,No,3436,3809,1,360,1,Rural
LP002279,Male,No,0,Graduate,No,2412,2755,1,360,1,Rural
LP002286,Male,Yes,3,Not Graduate,No,5180,0,1,360,0,Urban
LP002294,Male,No,0,Graduate,No,14911,14507,1,360,1,Semiurban
LP002298,,No,0,Graduate,Yes,2860,2988,1,360,1,Urban
LP002306,Male,Yes,0,Graduate,No,1173,1594,1,180,1,Rural
LP002310,Female,No,1,Graduate,No,7600,0,1,360,1,Semiurban
LP002311,Female,Yes,0,Graduate,No,2157,1788,1,360,1,Urban
LP002316,Male,No,0,Graduate,No,2231,2774,1,360,0,Urban
LP002321,Female,No,0,Graduate,No,2274,5211,1,360,0,Semiurban
LP002325,Male,Yes,2,Not Graduate,No,6166,13983,1,360,1,Rural
LP002326,Male,Yes,2,Not Graduate,No,2513,1110,1,360,1,Semiurban
LP002329,Male,No,0,Graduate,No,4333,0,1,480,1,Urban
LP002333,Male,No,0,Not Graduate,No,3844,0,1,360,1,Urban
LP002339,Male,Yes,0,Graduate,No,3887,1517,1,360,0,Semiurban
LP002344,Male,Yes,0,Graduate,No,3510,828,1,360,1,Semiurban
LP002346,Male,Yes,0,Graduate,,2539,1704,1,360,0,Rural
LP002354,Female,No,0,Not Graduate,No,2107,0,1,360,1,Semiurban
LP002355,,Yes,0,Graduate,No,3186,3145,1,180,0,Semiurban
LP002358,Male,Yes,2,Graduate,Yes,5000,2166,1,360,1,Urban
LP002360,Male,Yes,,Graduate,No,10000,0,1,360,1,Urban
LP002375,Male,Yes,0,Not Graduate,Yes,3943,0,1,360,1,Semiurban
LP002376,Male,No,0,Graduate,No,2925,0,1,180,1,Rural
LP002383,Male,Yes,3,Graduate,No,3242,437,1,480,0,Urban
LP002385,Male,Yes,,Graduate,No,3863,0,1,300,1,Semiurban
LP002389,Female,No,1,Graduate,No,4028,0,1,360,1,Semiurban
LP002394,Male,Yes,2,Graduate,No,4010,1025,1,360,1,Urban
LP002397,Female,Yes,1,Graduate,No,3719,1585,1,360,1,Urban
LP002399,Male,No,0,Graduate,,2858,0,1,360,0,Rural
LP002400,Female,Yes,0,Graduate,No,3833,0,1,360,1,Rural
LP002402,Male,Yes,0,Graduate,No,3333,4288,1,360,1,Urban
LP002412,Male,Yes,0,Graduate,No,3007,3725,1,360,1,Rural
LP002415,Female,No,1,Graduate,,1850,4583,1,360,,Rural
LP002417,Male,Yes,3,Not Graduate,No,2792,2619,1,360,1,Semiurban
LP002420,Male,Yes,0,Graduate,No,2982,1550,1,360,1,Semiurban
LP002425,Male,No,0,Graduate,No,3417,738,1,360,,Rural
LP002433,Male,Yes,1,Graduate,No,18840,0,1,360,1,Rural
LP002440,Male,Yes,2,Graduate,No,2995,1120,1,360,1,Rural
LP002441,Male,No,,Graduate,No,3579,3308,1,360,,Semiurban
LP002442,Female,Yes,1,Not Graduate,No,3835,1400,1,480,0,Urban
LP002445,Female,No,1,Not Graduate,No,3854,3575,1,360,1,Rural
LP002450,Male,Yes,2,Graduate,No,5833,750,1,360,0,Rural
LP002471,Male,No,0,Graduate,No,3508,0,1,360,1,Rural
LP002476,Female,Yes,3,Not Graduate,No,1635,2444,1,360,1,Urban
LP002482,Female,No,0,Graduate,Yes,3333,3916,1,360,1,Rural
LP002485,Male,No,1,Graduate,No,24797,0,1,360,1,Semiurban
LP002495,Male,Yes,2,Graduate,No,5667,440,1,360,0,Semiurban
LP002496,Female,No,0,Graduate,No,3500,0,1,360,0,Semiurban
LP002523,Male,Yes,3,Graduate,No,2773,1497,1,360,1,Semiurban
LP002542,Male,Yes,0,Graduate,,6500,0,1,360,1,Urban
LP002550,Female,No,0,Graduate,No,5769,0,1,180,1,Semiurban
LP002551,Male,Yes,3,Not Graduate,,3634,910,1,360,0,Semiurban
LP002553,,No,0,Graduate,No,29167,0,1,360,1,Semiurban
LP002554,Male,No,0,Graduate,No,2166,2057,1,360,1,Semiurban
LP002561,Male,Yes,0,Graduate,No,5000,0,1,360,1,Rural
LP002566,Female,No,0,Graduate,No,5530,0,1,360,,Urban
LP002568,Male,No,0,Not Graduate,No,9000,0,1,360,1,Rural
LP002570,Female,Yes,2,Graduate,No,10000,11666,1,360,1,Urban
LP002572,Male,Yes,1,Graduate,,8750,0,1,360,1,Urban
LP002581,Male,Yes,0,Not Graduate,No,2157,2730,1,360,,Rural
LP002584,Male,No,0,Graduate,,1972,4347,1,360,1,Rural
LP002592,Male,No,0,Graduate,No,4983,0,1,360,1,Urban
LP002593,Male,Yes,1,Graduate,No,8333,4000,1,360,1,Urban
LP002599,Male,Yes,0,Graduate,No,3667,2000,1,360,1,Semiurban
LP002604,Male,Yes,2,Graduate,No,3166,2833,1,360,1,Urban
LP002605,Male,No,0,Not Graduate,No,3271,0,1,360,1,Rural
LP002609,Female,Yes,0,Graduate,No,2241,2000,1,360,0,Urban
LP002610,Male,Yes,1,Not Graduate,,1792,2565,1,360,1,Urban
LP002612,Female,Yes,0,Graduate,No,2666,0,1,480,1,Semiurban
LP002614,,No,0,Graduate,No,6478,0,1,360,1,Semiurban
LP002630,Male,No,0,Not Graduate,,3808,0,1,360,1,Rural
LP002635,Female,Yes,2,Not Graduate,No,3729,0,1,360,1,Semiurban
LP002639,Male,Yes,2,Graduate,No,4120,0,1,360,1,Rural
LP002644,Male,Yes,1,Graduate,Yes,7500,0,1,360,1,Urban
LP002651,Male,Yes,1,Graduate,,6300,0,1,360,0,Urban
LP002654,Female,No,,Graduate,Yes,14987,0,1,360,1,Rural
LP002657,,Yes,1,Not Graduate,Yes,570,2125,1,360,1,Rural
LP002711,Male,Yes,0,Graduate,No,2600,700,1,360,1,Semiurban
LP002712,Male,No,2,Not Graduate,No,2733,1083,1,360,,Semiurban
LP002721,Male,Yes,2,Graduate,Yes,7500,0,1,360,1,Rural
LP002735,Male,Yes,2,Not Graduate,No,3859,0,1,360,1,Rural
LP002744,Male,Yes,1,Graduate,No,6825,0,1,360,1,Rural
LP002745,Male,Yes,0,Graduate,No,3708,4700,1,360,1,Semiurban
LP002746,Male,No,0,Graduate,No,5314,0,1,360,1,Urban
LP002747,Female,No,3,Graduate,No,2366,5272,1,360,0,Rural
LP002754,Male,No,,Graduate,No,2066,2108,1,84,1,Urban
LP002759,Male,Yes,2,Graduate,No,5000,0,1,360,1,Rural
LP002760,Female,No,0,Graduate,No,3767,0,1,300,1,Urban
LP002766,Female,Yes,0,Graduate,No,7859,879,1,180,1,Semiurban
LP002769,Female,Yes,0,Graduate,No,4283,0,1,360,1,Rural
LP002774,Male,Yes,0,Not Graduate,No,1700,2900,1,360,0,Urban
LP002775,,No,0,Not Graduate,No,4768,0,1,360,1,Rural
LP002781,Male,No,0,Graduate,No,3083,2738,1,360,1,Urban
LP002782,Male,Yes,1,Graduate,No,2667,1542,1,360,1,Rural
LP002786,Female,Yes,0,Not Graduate,No,1647,1762,1,360,1,Urban
LP002790,Male,Yes,3,Graduate,No,3400,0,1,120,1,Urban
LP002791,Male,No,1,Graduate,,16000,5000,1,360,1,Semiurban
LP002793,Male,Yes,0,Graduate,No,5333,0,1,360,1,Rural
LP002802,Male,No,0,Graduate,No,2875,2416,1,6,0,Semiurban
LP002803,Male,Yes,1,Not Graduate,,2600,618,1,360,1,Semiurban
LP002805,Male,Yes,2,Graduate,No,5041,700,1,360,1,Urban
LP002806,Male,Yes,3,Graduate,Yes,6958,1411,1,360,1,Rural
LP002816,Male,Yes,1,Graduate,No,3500,1658,1,360,,Semiurban
LP002823,Male,Yes,0,Graduate,No,5509,0,1,360,1,Rural
LP002825,Male,Yes,3,Graduate,No,9699,0,1,360,1,Urban
LP002826,Female,Yes,1,Not Graduate,No,3621,2717,1,360,1,Urban
LP002843,Female,Yes,0,Graduate,No,4709,0,1,360,1,Semiurban
LP002849,Male,Yes,0,Graduate,No,1516,1951,1,360,1,Semiurban
LP002850,Male,No,2,Graduate,No,2400,0,1,360,1,Urban
LP002853,Female,No,0,Not Graduate,No,3015,2000,1,360,,Urban
LP002856,Male,Yes,0,Graduate,No,2292,1558,1,360,1,Urban
LP002857,Male,Yes,1,Graduate,Yes,2360,3355,1,240,1,Rural
LP002858,Female,No,0,Graduate,No,4333,2333,1,360,0,Rural
LP002860,Male,Yes,0,Graduate,Yes,2623,4831,1,180,1,Semiurban
LP002867,Male,No,0,Graduate,Yes,3972,4275,1,360,1,Rural
LP002869,Male,Yes,3,Not Graduate,No,3522,0,1,180,1,Rural
LP002870,Male,Yes,1,Graduate,No,4700,0,1,360,1,Urban
LP002876,Male,No,0,Graduate,No,6858,0,1,360,1,Rural
LP002878,Male,Yes,3,Graduate,No,8334,0,1,360,1,Urban
LP002879,Male,Yes,0,Graduate,No,3391,1966,1,360,0,Rural
LP002885,Male,No,0,Not Graduate,No,2868,0,1,360,1,Urban
LP002890,Male,Yes,2,Not Graduate,No,3418,1380,1,360,1,Urban
LP002891,Male,Yes,0,Graduate,Yes,2500,296,1,300,1,Rural
LP002899,Male,Yes,2,Graduate,No,8667,0,1,360,1,Rural
LP002901,Male,No,0,Graduate,No,2283,15000,1,360,,Rural
LP002907,Male,Yes,0,Graduate,No,5817,910,1,360,1,Urban
LP002920,Male,Yes,0,Graduate,No,5119,3769,1,360,1,Rural
LP002921,Male,Yes,3,Not Graduate,No,5316,187,1,180,0,Semiurban
LP002932,Male,Yes,3,Graduate,No,7603,1213,1,360,1,Urban
LP002935,Male,Yes,1,Graduate,No,3791,1936,1,360,1,Urban
LP002952,Male,No,0,Graduate,No,2500,0,1,360,1,Urban
LP002954,Male,Yes,2,Not Graduate,No,3132,0,1,360,,Rural
LP002962,Male,No,0,Graduate,No,4000,2667,1,360,1,Semiurban
LP002965,Female,Yes,0,Graduate,No,8550,4255,1,360,,Urban
LP002969,Male,Yes,1,Graduate,No,2269,2167,1,360,1,Semiurban
LP002971,Male,Yes,3,Not Graduate,Yes,4009,1777,1,360,1,Urban
LP002975,Male,Yes,0,Graduate,No,4158,709,1,360,1,Urban
LP002980,Male,No,0,Graduate,No,3250,1993,1,360,,Semiurban
LP002986,Male,Yes,0,Graduate,No,5000,2393,1,360,1,Rural
LP002989,Male,No,0,Graduate,Yes,9200,0,1,180,1,Rural
